cards=2583A, bid=4, type=0, rank=1
cards=QJ3JA, bid=979, type=3, rank=639
cards=QJ4Q9, bid=549, type=3, rank=640
cards=QJ8TT, bid=88, type=3, rank=641
cards=Q2JKQ, bid=732, type=3, rank=642
cards=Q222A, bid=371, type=3, rank=643
cards=Q333A, bid=695, type=3, rank=644
cards=Q338J, bid=843, type=3, rank=645
cards=Q525J, bid=656, type=3, rank=646
cards=Q5666, bid=123, type=3, rank=647
cards=QQ2KQ, bid=554, type=3, rank=648
cards=QQ36Q, bid=403, type=3, rank=649
cards=QQ5Q2, bid=664, type=3, rank=650
cards=QQA6Q, bid=73, type=3, rank=651
cards=QK3JQ, bid=613, type=3, rank=652
cards=QK99J, bid=985, type=3, rank=653
cards=QKTQQ, bid=913, type=3, rank=654
cards=QA4AA, bid=57, type=3, rank=655
cards=QAQQ8, bid=189, type=3, rank=656
cards=KJ4AK, bid=924, type=3, rank=657
cards=KJK83, bid=949, type=3, rank=658
cards=K2J5K, bid=338, type=3, rank=659
cards=K2JK3, bid=853, type=3, rank=660
cards=K2225, bid=257, type=3, rank=661
cards=K5JK9, bid=896, type=3, rank=662
cards=K58JK, bid=194, type=3, rank=663
cards=K5KK8, bid=316, type=3, rank=664
cards=K6J55, bid=521, type=3, rank=665
cards=K6656, bid=417, type=3, rank=666
cards=K98J9, bid=926, type=3, rank=667
cards=K9K4J, bid=786, type=3, rank=668
cards=KQ8KK, bid=807, type=3, rank=669
cards=KQ9QQ, bid=219, type=3, rank=670
cards=KQQ7Q, bid=837, type=3, rank=671
cards=KK7QJ, bid=76, type=3, rank=672
cards=KKK48, bid=585, type=3, rank=673
cards=KAJ44, bid=379, type=3, rank=674
cards=KA666, bid=571, type=3, rank=675
cards=KAA4J, bid=30, type=3, rank=676
cards=AJ69J, bid=486, type=3, rank=677
cards=AJT5A, bid=919, type=3, rank=678
cards=AJKAT, bid=389, type=3, rank=679
cards=A2QJJ, bid=466, type=3, rank=680
cards=A3353, bid=31, type=3, rank=681
cards=A38AJ, bid=480, type=3, rank=682
cards=A3TJA, bid=294, type=3, rank=683
cards=A4449, bid=579, type=3, rank=684
cards=A53AA, bid=770, type=3, rank=685
cards=A6444, bid=715, type=3, rank=686
cards=A9JAQ, bid=569, type=3, rank=687
cards=ATJQT, bid=804, type=3, rank=688
cards=AK4KK, bid=784, type=3, rank=689
cards=AAJ4T, bid=9, type=3, rank=690
cards=AA28A, bid=439, type=3, rank=691
cards=AA4TA, bid=116, type=3, rank=692
cards=AAQA7, bid=797, type=3, rank=693
cards=AAA98, bid=650, type=3, rank=694
cards=J8448, bid=738, type=4, rank=695
cards=JT2T2, bid=735, type=4, rank=696
cards=JT9T9, bid=967, type=4, rank=697
cards=JTKKT, bid=997, type=4, rank=698
cards=JA55A, bid=281, type=4, rank=699
cards=22555, bid=842, type=4, rank=700
cards=22882, bid=577, type=4, rank=701
cards=22TT2, bid=550, type=4, rank=702
cards=22QQ2, bid=234, type=4, rank=703
cards=22KK2, bid=713, type=4, rank=704
cards=24224, bid=707, type=4, rank=705
cards=27722, bid=360, type=4, rank=706
cards=27727, bid=62, type=4, rank=707
cards=33232, bid=570, type=4, rank=708
cards=33344, bid=94, type=4, rank=709
cards=33399, bid=353, type=4, rank=710
cards=333TT, bid=359, type=4, rank=711
cards=336J6, bid=173, type=4, rank=712
cards=35355, bid=789, type=4, rank=713
cards=37733, bid=450, type=4, rank=714
cards=38338, bid=723, type=4, rank=715
cards=38883, bid=231, type=4, rank=716
cards=39939, bid=427, type=4, rank=717
cards=42442, bid=592, type=4, rank=718
cards=43344, bid=209, type=4, rank=719
cards=44KKJ, bid=47, type=4, rank=720
cards=44KK4, bid=97, type=4, rank=721
cards=45544, bid=909, type=4, rank=722
cards=46446, bid=825, type=4, rank=723
cards=47477, bid=419, type=4, rank=724
cards=49494, bid=483, type=4, rank=725
cards=4TTJ4, bid=147, type=4, rank=726
cards=4QQQ4, bid=721, type=4, rank=727
cards=4KKK4, bid=325, type=4, rank=728
cards=5252J, bid=834, type=4, rank=729
cards=52522, bid=102, type=4, rank=730
cards=55454, bid=755, type=4, rank=731
cards=55AA5, bid=321, type=4, rank=732
cards=57757, bid=323, type=4, rank=733
cards=58585, bid=539, type=4, rank=734
cards=5T5T5, bid=308, type=4, rank=735
cards=5Q5Q5, bid=280, type=4, rank=736
cards=62626, bid=223, type=4, rank=737
cards=66333, bid=615, type=4, rank=738
cards=66446, bid=72, type=4, rank=739
cards=66688, bid=690, type=4, rank=740
cards=66KK6, bid=543, type=4, rank=741
cards=67677, bid=931, type=4, rank=742
cards=69699, bid=25, type=4, rank=743
cards=6T6JT, bid=790, type=4, rank=744
cards=6TT66, bid=385, type=4, rank=745
cards=7J7KK, bid=344, type=4, rank=746
cards=7J878, bid=452, type=4, rank=747
cards=733J7, bid=12, type=4, rank=748
cards=73737, bid=390, type=4, rank=749
cards=74447, bid=184, type=4, rank=750
cards=77999, bid=441, type=4, rank=751
cards=797J9, bid=778, type=4, rank=752
cards=79779, bid=274, type=4, rank=753
cards=7TT77, bid=743, type=4, rank=754
cards=7Q7Q7, bid=410, type=4, rank=755
cards=7QQ7J, bid=306, type=4, rank=756
cards=7KK77, bid=590, type=4, rank=757
cards=7KKK7, bid=582, type=4, rank=758
cards=7A77A, bid=623, type=4, rank=759
cards=84844, bid=806, type=4, rank=760
cards=8585J, bid=318, type=4, rank=761
cards=85885, bid=289, type=4, rank=762
cards=87778, bid=946, type=4, rank=763
cards=88J22, bid=494, type=4, rank=764
cards=88KJK, bid=275, type=4, rank=765
cards=8T8TJ, bid=828, type=4, rank=766
cards=8K8K8, bid=188, type=4, rank=767
cards=8A88A, bid=351, type=4, rank=768
cards=92229, bid=92, type=4, rank=769
cards=92929, bid=217, type=4, rank=770
cards=9559J, bid=312, type=4, rank=771
cards=95595, bid=529, type=4, rank=772
cards=99988, bid=659, type=4, rank=773
cards=99QJQ, bid=705, type=4, rank=774
cards=9Q9QQ, bid=972, type=4, rank=775
cards=9K99K, bid=832, type=4, rank=776
cards=9KKJ9, bid=366, type=4, rank=777
cards=T7TT7, bid=493, type=4, rank=778
cards=T8T88, bid=3, type=4, rank=779
cards=T9T99, bid=817, type=4, rank=780
cards=T9T9T, bid=965, type=4, rank=781
cards=TT77J, bid=809, type=4, rank=782
cards=TTTAA, bid=578, type=4, rank=783
cards=Q2Q2J, bid=380, type=4, rank=784
cards=Q77QQ, bid=271, type=4, rank=785
cards=Q8JQ8, bid=801, type=4, rank=786
cards=Q8QQ8, bid=564, type=4, rank=787
cards=Q999Q, bid=718, type=4, rank=788
cards=QTQTQ, bid=971, type=4, rank=789
cards=QQ5Q5, bid=243, type=4, rank=790
cards=QQ6Q6, bid=680, type=4, rank=791
cards=QKJQK, bid=235, type=4, rank=792
cards=KJ33K, bid=423, type=4, rank=793
cards=K2KK2, bid=401, type=4, rank=794
cards=KTTKT, bid=391, type=4, rank=795
cards=KTTKK, bid=1, type=4, rank=796
cards=KQKKQ, bid=40, type=4, rank=797
cards=KKK55, bid=754, type=4, rank=798
cards=KAJAK, bid=527, type=4, rank=799
cards=KAKKA, bid=903, type=4, rank=800
cards=AJ3A3, bid=944, type=4, rank=801
cards=A3AA3, bid=798, type=4, rank=802
cards=A5A5A, bid=846, type=4, rank=803
cards=AQQQA, bid=823, type=4, rank=804
cards=AA2A2, bid=99, type=4, rank=805
cards=AA77A, bid=849, type=4, rank=806
cards=AA88A, bid=653, type=4, rank=807
cards=AA99A, bid=605, type=4, rank=808
cards=AATAT, bid=161, type=4, rank=809
cards=AAKAK, bid=952, type=4, rank=810
cards=AAA66, bid=83, type=4, rank=811
cards=JJ5J6, bid=725, type=5, rank=812
cards=JJT2T, bid=205, type=5, rank=813
cards=JJTTQ, bid=629, type=5, rank=814
cards=J226J, bid=747, type=5, rank=815
cards=J22TJ, bid=7, type=5, rank=816
cards=J37J3, bid=467, type=5, rank=817
cards=J3TTT, bid=238, type=5, rank=818
cards=J44TJ, bid=874, type=5, rank=819
cards=J44KJ, bid=282, type=5, rank=820
cards=J4555, bid=183, type=5, rank=821
cards=J4999, bid=700, type=5, rank=822
cards=J545J, bid=876, type=5, rank=823
cards=J7J88, bid=384, type=5, rank=824
cards=J7377, bid=276, type=5, rank=825
cards=J779J, bid=878, type=5, rank=826
cards=J9Q99, bid=153, type=5, rank=827
cards=JT888, bid=309, type=5, rank=828
cards=JQQ3J, bid=696, type=5, rank=829
cards=JK9JK, bid=520, type=5, rank=830
cards=JA2JA, bid=345, type=5, rank=831
cards=2J229, bid=495, type=5, rank=832
cards=2J232, bid=639, type=5, rank=833
cards=22JT2, bid=990, type=5, rank=834
cards=22225, bid=34, type=5, rank=835
cards=22226, bid=776, type=5, rank=836
cards=2222T, bid=87, type=5, rank=837
cards=2222A, bid=45, type=5, rank=838
cards=222K2, bid=652, type=5, rank=839
cards=224JJ, bid=660, type=5, rank=840
cards=23333, bid=847, type=5, rank=841
cards=27222, bid=643, type=5, rank=842
cards=29222, bid=866, type=5, rank=843
cards=2Q222, bid=148, type=5, rank=844
cards=3J833, bid=922, type=5, rank=845
cards=32222, bid=587, type=5, rank=846
cards=33J63, bid=349, type=5, rank=847
cards=33J73, bid=635, type=5, rank=848
cards=332J3, bid=729, type=5, rank=849
cards=37333, bid=465, type=5, rank=850
cards=38888, bid=232, type=5, rank=851
cards=3T333, bid=103, type=5, rank=852
cards=4J644, bid=689, type=5, rank=853
cards=44JJ8, bid=365, type=5, rank=854
cards=44J48, bid=412, type=5, rank=855
cards=44344, bid=14, type=5, rank=856
cards=4444T, bid=726, type=5, rank=857
cards=444A4, bid=101, type=5, rank=858
cards=44844, bid=435, type=5, rank=859
cards=44K4J, bid=654, type=5, rank=860
cards=4T4J4, bid=131, type=5, rank=861
cards=5J556, bid=491, type=5, rank=862
cards=5J55T, bid=139, type=5, rank=863
cards=53JJ3, bid=317, type=5, rank=864
cards=55545, bid=626, type=5, rank=865
cards=55553, bid=533, type=5, rank=866
cards=55559, bid=2, type=5, rank=867
cards=5555T, bid=912, type=5, rank=868
cards=555K5, bid=265, type=5, rank=869
cards=555A5, bid=760, type=5, rank=870
cards=5QQQQ, bid=129, type=5, rank=871
cards=66J63, bid=247, type=5, rank=872
cards=66366, bid=120, type=5, rank=873
cards=666J8, bid=475, type=5, rank=874
cards=6666K, bid=999, type=5, rank=875
cards=66686, bid=940, type=5, rank=876
cards=666T6, bid=133, type=5, rank=877
cards=666A6, bid=693, type=5, rank=878
cards=686JJ, bid=793, type=5, rank=879
cards=6966J, bid=667, type=5, rank=880
cards=69666, bid=472, type=5, rank=881
cards=6999J, bid=609, type=5, rank=882
cards=7JK77, bid=779, type=5, rank=883
cards=7JA77, bid=447, type=5, rank=884
cards=74777, bid=854, type=5, rank=885
cards=76666, bid=141, type=5, rank=886
cards=77J97, bid=476, type=5, rank=887
cards=77277, bid=915, type=5, rank=888
cards=777JT, bid=785, type=5, rank=889
cards=77737, bid=978, type=5, rank=890
cards=77757, bid=150, type=5, rank=891
cards=77776, bid=404, type=5, rank=892
cards=7777T, bid=759, type=5, rank=893
cards=7777A, bid=293, type=5, rank=894
cards=77787, bid=82, type=5, rank=895
cards=7TTTT, bid=519, type=5, rank=896
cards=7K777, bid=77, type=5, rank=897
cards=8JJ84, bid=742, type=5, rank=898
cards=8J33J, bid=157, type=5, rank=899
cards=83333, bid=567, type=5, rank=900
cards=8488J, bid=482, type=5, rank=901
cards=88JQ8, bid=145, type=5, rank=902
cards=8883J, bid=651, type=5, rank=903
cards=88848, bid=252, type=5, rank=904
cards=88868, bid=536, type=5, rank=905
cards=888A8, bid=134, type=5, rank=906
cards=88K88, bid=508, type=5, rank=907
cards=8AAJJ, bid=386, type=5, rank=908
cards=8AAAA, bid=372, type=5, rank=909
cards=9J66J, bid=889, type=5, rank=910
cards=9JKJJ, bid=824, type=5, rank=911
cards=99J6J, bid=43, type=5, rank=912
cards=99499, bid=420, type=5, rank=913
cards=997J9, bid=986, type=5, rank=914
cards=999J2, bid=540, type=5, rank=915
cards=99939, bid=454, type=5, rank=916
cards=99979, bid=399, type=5, rank=917
cards=99A99, bid=314, type=5, rank=918
cards=9Q999, bid=124, type=5, rank=919
cards=9AAAA, bid=541, type=5, rank=920
cards=TJ5TT, bid=501, type=5, rank=921
cards=TJT9J, bid=107, type=5, rank=922
cards=TJTT6, bid=682, type=5, rank=923
cards=T9999, bid=305, type=5, rank=924
cards=TT5TT, bid=20, type=5, rank=925
cards=TTT2T, bid=512, type=5, rank=926
cards=TTT6T, bid=207, type=5, rank=927
cards=TTT9J, bid=286, type=5, rank=928
cards=TTT9T, bid=901, type=5, rank=929
cards=TTTT4, bid=201, type=5, rank=930
cards=TTTQT, bid=548, type=5, rank=931
cards=TTAJT, bid=89, type=5, rank=932
cards=TQJQJ, bid=669, type=5, rank=933
cards=QJQTQ, bid=959, type=5, rank=934
cards=QJQQ7, bid=152, type=5, rank=935
cards=QQ2QQ, bid=553, type=5, rank=936
cards=QQ3QQ, bid=685, type=5, rank=937
cards=QQ5JQ, bid=333, type=5, rank=938
cards=QQQ7Q, bid=739, type=5, rank=939
cards=QQQTQ, bid=196, type=5, rank=940
cards=QQQQ4, bid=618, type=5, rank=941
cards=QKJQQ, bid=193, type=5, rank=942
cards=QAQJJ, bid=224, type=5, rank=943
cards=KJJ33, bid=621, type=5, rank=944
cards=KJJ7J, bid=558, type=5, rank=945
cards=KJ999, bid=633, type=5, rank=946
cards=KJTTT, bid=731, type=5, rank=947
cards=KJK8K, bid=449, type=5, rank=948
cards=K7JKK, bid=563, type=5, rank=949
cards=KQKKK, bid=226, type=5, rank=950
cards=KK3KK, bid=213, type=5, rank=951
cards=KK4KK, bid=479, type=5, rank=952
cards=KKK5J, bid=38, type=5, rank=953
cards=KKK6J, bid=781, type=5, rank=954
cards=KKK6K, bid=455, type=5, rank=955
cards=KKK7K, bid=522, type=5, rank=956
cards=KKKK5, bid=19, type=5, rank=957
cards=KKKK9, bid=950, type=5, rank=958
cards=KAKKJ, bid=526, type=5, rank=959
cards=AJQAA, bid=202, type=5, rank=960
cards=AJA5A, bid=315, type=5, rank=961
cards=AJAA3, bid=378, type=5, rank=962
cards=A555J, bid=279, type=5, rank=963
cards=A6AAA, bid=307, type=5, rank=964
cards=AQQQQ, bid=632, type=5, rank=965
cards=AA3AA, bid=364, type=5, rank=966
cards=AA7AA, bid=91, type=5, rank=967
cards=AAAKA, bid=144, type=5, rank=968
cards=AAAA2, bid=181, type=5, rank=969
cards=AAAAT, bid=572, type=5, rank=970
cards=JJJJJ, bid=270, type=6, rank=971
cards=JJJKK, bid=882, type=6, rank=972
cards=JJ999, bid=881, type=6, rank=973
cards=JJKKK, bid=329, type=6, rank=974
cards=J22J2, bid=48, type=6, rank=975
cards=J333J, bid=510, type=6, rank=976
cards=J5JJ5, bid=886, type=6, rank=977
cards=J7777, bid=302, type=6, rank=978
cards=J8JJJ, bid=982, type=6, rank=979
cards=J8888, bid=602, type=6, rank=980
cards=22JJJ, bid=334, type=6, rank=981
cards=2222J, bid=49, type=6, rank=982
cards=333J3, bid=917, type=6, rank=983
cards=4J444, bid=90, type=6, rank=984
cards=44JJJ, bid=850, type=6, rank=985
cards=5J55J, bid=736, type=6, rank=986
cards=5J555, bid=164, type=6, rank=987
cards=6666J, bid=557, type=6, rank=988
cards=7J77J, bid=409, type=6, rank=989
cards=8JJJ8, bid=765, type=6, rank=990
cards=88J8J, bid=914, type=6, rank=991
cards=999J9, bid=61, type=6, rank=992
cards=TTJJT, bid=737, type=6, rank=993
cards=TTJTT, bid=601, type=6, rank=994
cards=QJJQQ, bid=408, type=6, rank=995
cards=QQJQQ, bid=728, type=6, rank=996
cards=KKJKK, bid=674, type=6, rank=997
cards=AJJAJ, bid=977, type=6, rank=998
cards=AJJAA, bid=464, type=6, rank=999
cards=AAAAJ, bid=992, type=6, rank=1000
Part II - Result: 251195607.
